Scheduled Tasks: 01/15/2020 01:58:47 PM INFO: Created list of taskdetails and connected to scheduled task reader.
Scheduled Tasks: 01/15/2020 01:58:47 PM INFO: Reading scheduled task directory.
Scheduled Tasks: 01/15/2020 01:58:47 PM INFO: Listing all folders in directory.
Scheduled Tasks: 01/15/2020 01:58:47 PM INFO: Added task attributes to list.
Scheduled Tasks: 01/15/2020 01:58:47 PM DEBUG: Returned list of task attributes.
Scheduled Tasks: 01/15/2020 01:58:47 PM INFO: Listing all folders in directory.
Scheduled Tasks: 01/15/2020 01:58:47 PM INFO: Added task attributes to list.
Scheduled Tasks: 01/15/2020 01:58:47 PM DEBUG: Returned list of task attributes.
Scheduled Tasks: 01/15/2020 01:58:47 PM INFO: Listing all folders in directory.
Scheduled Tasks: 01/15/2020 01:58:47 PM INFO: Listing all folders in directory.
Scheduled Tasks: 01/15/2020 01:58:47 PM INFO: Added task attributes to list.
Scheduled Tasks: 01/15/2020 01:58:47 PM DEBUG: Returned list of task attributes.
Scheduled Tasks: 01/15/2020 01:58:47 PM INFO: Added task attributes to list.
Scheduled Tasks: 01/15/2020 01:58:47 PM DEBUG: Returned list of task attributes.
Scheduled Tasks: 01/15/2020 01:58:47 PM INFO: Listing all folders in directory.
Scheduled Tasks: 01/15/2020 01:58:47 PM INFO: Added task attributes to list.
Scheduled Tasks: 01/15/2020 01:58:47 PM DEBUG: Returned list of task attributes.
Scheduled Tasks: 01/15/2020 01:58:47 PM INFO: Added task attributes to list.
Scheduled Tasks: 01/15/2020 01:58:47 PM DEBUG: Returned list of task attributes.
Scheduled Tasks: 01/15/2020 01:58:47 PM INFO: Added task attributes to list.
Scheduled Tasks: 01/15/2020 01:58:47 PM DEBUG: Returned list of task attributes.
Scheduled Tasks: 01/15/2020 01:58:47 PM INFO: Listing all folders in directory.
Scheduled Tasks: 01/15/2020 01:58:47 PM INFO: Listing all folders in directory.
Scheduled Tasks: 01/15/2020 01:58:47 PM INFO: Listing all folders in directory.
Scheduled Tasks: 01/15/2020 01:58:47 PM INFO: Added task attributes to list.
Scheduled Tasks: 01/15/2020 01:58:47 PM DEBUG: Returned list of task attributes.
Scheduled Tasks: 01/15/2020 01:58:47 PM INFO: Added task attributes to list.
Scheduled Tasks: 01/15/2020 01:58:47 PM DEBUG: Returned list of task attributes.
Scheduled Tasks: 01/15/2020 01:58:47 PM INFO: Listing all folders in directory.
Scheduled Tasks: 01/15/2020 01:58:47 PM INFO: Added task attributes to list.
Scheduled Tasks: 01/15/2020 01:58:47 PM DEBUG: Returned list of task attributes.
Scheduled Tasks: 01/15/2020 01:58:47 PM INFO: Listing all folders in directory.
Scheduled Tasks: 01/15/2020 01:58:47 PM INFO: Added task attributes to list.
Scheduled Tasks: 01/15/2020 01:58:47 PM DEBUG: Returned list of task attributes.
Scheduled Tasks: 01/15/2020 01:58:47 PM INFO: Listing all folders in directory.
Scheduled Tasks: 01/15/2020 01:58:47 PM INFO: Listing all folders in directory.
Scheduled Tasks: 01/15/2020 01:58:47 PM INFO: Listing all folders in directory.
Scheduled Tasks: 01/15/2020 01:58:58 PM DEBUG: Selected no as filtering choice.
Scheduled Tasks: 01/15/2020 01:59:02 PM DEBUG: SelectedCCleanerSkipUACas name to filter on.
Scheduled Tasks: 01/15/2020 01:59:07 PM DEBUG: SelectedCompletedas state to filter on.
Scheduled Tasks: 01/15/2020 01:59:08 PM DEBUG: Selectedas path to filter on.
Scheduled Tasks: 01/15/2020 01:59:08 PM INFO: Name field to filter on is left blank.
Scheduled Tasks: 01/15/2020 01:59:08 PM DEBUG: added task to Filtered list
Scheduled Tasks: 01/15/2020 01:59:08 PM INFO: State field to filter on is left blank.
Scheduled Tasks: 01/15/2020 01:59:08 PM DEBUG: added task to Filtered list
Scheduled Tasks: 01/15/2020 01:59:08 PM DEBUG: added task to Filtered list
Scheduled Tasks: 01/15/2020 01:59:08 PM DEBUG: added task to Filtered list
Scheduled Tasks: 01/15/2020 01:59:08 PM DEBUG: added task to Filtered list
Scheduled Tasks: 01/15/2020 01:59:08 PM DEBUG: added task to Filtered list
Scheduled Tasks: 01/15/2020 01:59:08 PM DEBUG: added task to Filtered list
Scheduled Tasks: 01/15/2020 01:59:08 PM DEBUG: added task to Filtered list
Scheduled Tasks: 01/15/2020 01:59:08 PM DEBUG: added task to Filtered list
Scheduled Tasks: 01/15/2020 01:59:08 PM DEBUG: added task to Filtered list
Scheduled Tasks: 01/15/2020 01:59:08 PM DEBUG: added task to Filtered list
Scheduled Tasks: 01/15/2020 01:59:08 PM DEBUG: added task to Filtered list
Scheduled Tasks: 01/15/2020 01:59:08 PM DEBUG: added task to Filtered list
Scheduled Tasks: 01/15/2020 01:59:08 PM DEBUG: added task to Filtered list
Scheduled Tasks: 01/15/2020 01:59:08 PM DEBUG: added task to Filtered list
Scheduled Tasks: 01/15/2020 01:59:08 PM DEBUG: added task to Filtered list
Scheduled Tasks: 01/15/2020 01:59:08 PM DEBUG: added task to Filtered list
Scheduled Tasks: 01/15/2020 01:59:08 PM DEBUG: added task to Filtered list
Scheduled Tasks: 01/15/2020 01:59:08 PM DEBUG: added task to Filtered list
Scheduled Tasks: 01/15/2020 01:59:08 PM DEBUG: added task to Filtered list
Scheduled Tasks: 01/15/2020 01:59:08 PM DEBUG: added task to Filtered list
Scheduled Tasks: 01/15/2020 01:59:08 PM DEBUG: added task to Filtered list
Scheduled Tasks: 01/15/2020 01:59:08 PM DEBUG: added task to Filtered list
Scheduled Tasks: 01/15/2020 01:59:08 PM DEBUG: added task to Filtered list
Scheduled Tasks: 01/15/2020 01:59:08 PM DEBUG: added task to Filtered list
Scheduled Tasks: 01/15/2020 01:59:08 PM DEBUG: added task to Filtered list
Scheduled Tasks: 01/15/2020 01:59:08 PM DEBUG: added task to Filtered list
Scheduled Tasks: 01/15/2020 01:59:08 PM DEBUG: added task to Filtered list
Scheduled Tasks: 01/15/2020 01:59:08 PM DEBUG: added task to Filtered list
Scheduled Tasks: 01/15/2020 01:59:08 PM DEBUG: added task to Filtered list
Scheduled Tasks: 01/15/2020 01:59:08 PM DEBUG: added task to Filtered list
Scheduled Tasks: 01/15/2020 01:59:08 PM DEBUG: added task to Filtered list
Scheduled Tasks: 01/15/2020 01:59:08 PM DEBUG: added task to Filtered list
Scheduled Tasks: 01/15/2020 01:59:08 PM DEBUG: added task to Filtered list
Scheduled Tasks: 01/15/2020 01:59:08 PM DEBUG: added task to Filtered list
Scheduled Tasks: 01/15/2020 01:59:08 PM DEBUG: added task to Filtered list
Scheduled Tasks: 01/15/2020 01:59:08 PM DEBUG: added task to Filtered list
Scheduled Tasks: 01/15/2020 01:59:08 PM DEBUG: added task to Filtered list
Scheduled Tasks: 01/15/2020 01:59:08 PM DEBUG: added task to Filtered list
Scheduled Tasks: 01/15/2020 01:59:08 PM DEBUG: added task to Filtered list
Scheduled Tasks: 01/15/2020 01:59:08 PM DEBUG: added task to Filtered list
Scheduled Tasks: 01/15/2020 01:59:08 PM DEBUG: added task to Filtered list
Scheduled Tasks: 01/15/2020 01:59:08 PM DEBUG: added task to Filtered list
Scheduled Tasks: 01/15/2020 01:59:08 PM DEBUG: added task to Filtered list
Scheduled Tasks: 01/15/2020 01:59:08 PM DEBUG: added task to Filtered list
Scheduled Tasks: 01/15/2020 01:59:08 PM DEBUG: added task to Filtered list
Scheduled Tasks: 01/15/2020 01:59:08 PM DEBUG: added task to Filtered list
Scheduled Tasks: 01/15/2020 01:59:08 PM DEBUG: added task to Filtered list
Scheduled Tasks: 01/15/2020 01:59:08 PM DEBUG: added task to Filtered list
Scheduled Tasks: 01/15/2020 01:59:08 PM DEBUG: added task to Filtered list
Scheduled Tasks: 01/15/2020 01:59:08 PM DEBUG: added task to Filtered list
Scheduled Tasks: 01/15/2020 01:59:08 PM DEBUG: added task to Filtered list
Scheduled Tasks: 01/15/2020 01:59:08 PM DEBUG: added task to Filtered list
Scheduled Tasks: 01/15/2020 01:59:08 PM DEBUG: added task to Filtered list
Scheduled Tasks: 01/15/2020 01:59:08 PM DEBUG: added task to Filtered list
Scheduled Tasks: 01/15/2020 01:59:08 PM DEBUG: added task to Filtered list
Scheduled Tasks: 01/15/2020 01:59:08 PM DEBUG: added task to Filtered list
Scheduled Tasks: 01/15/2020 01:59:08 PM DEBUG: added task to Filtered list
Scheduled Tasks: 01/15/2020 01:59:08 PM DEBUG: added task to Filtered list
Scheduled Tasks: 01/15/2020 01:59:08 PM DEBUG: added task to Filtered list
Scheduled Tasks: 01/15/2020 01:59:08 PM DEBUG: added task to Filtered list
Scheduled Tasks: 01/15/2020 01:59:08 PM DEBUG: added task to Filtered list
Scheduled Tasks: 01/15/2020 01:59:08 PM DEBUG: added task to Filtered list
Scheduled Tasks: 01/15/2020 01:59:08 PM DEBUG: added task to Filtered list
Scheduled Tasks: 01/15/2020 01:59:08 PM DEBUG: added task to Filtered list
Scheduled Tasks: 01/15/2020 01:59:08 PM DEBUG: added task to Filtered list
Scheduled Tasks: 01/15/2020 01:59:08 PM DEBUG: added task to Filtered list
Scheduled Tasks: 01/15/2020 01:59:08 PM DEBUG: added task to Filtered list
Scheduled Tasks: 01/15/2020 01:59:08 PM DEBUG: added task to Filtered list
Scheduled Tasks: 01/15/2020 01:59:08 PM DEBUG: added task to Filtered list
Scheduled Tasks: 01/15/2020 01:59:08 PM DEBUG: added task to Filtered list
Scheduled Tasks: 01/15/2020 01:59:08 PM DEBUG: added task to Filtered list
Scheduled Tasks: 01/15/2020 01:59:08 PM DEBUG: added task to Filtered list
Scheduled Tasks: 01/15/2020 01:59:08 PM DEBUG: added task to Filtered list
Scheduled Tasks: 01/15/2020 01:59:08 PM DEBUG: added task to Filtered list
Scheduled Tasks: 01/15/2020 01:59:08 PM DEBUG: added task to Filtered list
Scheduled Tasks: 01/15/2020 01:59:08 PM DEBUG: added task to Filtered list
Scheduled Tasks: 01/15/2020 01:59:08 PM DEBUG: added task to Filtered list
Scheduled Tasks: 01/15/2020 01:59:08 PM DEBUG: added task to Filtered list
Scheduled Tasks: 01/15/2020 01:59:08 PM DEBUG: added task to Filtered list
Scheduled Tasks: 01/15/2020 01:59:08 PM DEBUG: added task to Filtered list
Scheduled Tasks: 01/15/2020 01:59:08 PM DEBUG: added task to Filtered list
Scheduled Tasks: 01/15/2020 01:59:08 PM DEBUG: added task to Filtered list
Scheduled Tasks: 01/15/2020 01:59:08 PM DEBUG: added task to Filtered list
Scheduled Tasks: 01/15/2020 01:59:08 PM DEBUG: added task to Filtered list
Scheduled Tasks: 01/15/2020 01:59:08 PM DEBUG: added task to Filtered list
Scheduled Tasks: 01/15/2020 01:59:08 PM DEBUG: added task to Filtered list
Scheduled Tasks: 01/15/2020 01:59:08 PM DEBUG: added task to Filtered list
Scheduled Tasks: 01/15/2020 01:59:08 PM DEBUG: added task to Filtered list
Scheduled Tasks: 01/15/2020 01:59:08 PM DEBUG: added task to Filtered list
Scheduled Tasks: 01/15/2020 01:59:08 PM DEBUG: added task to Filtered list
Scheduled Tasks: 01/15/2020 01:59:08 PM DEBUG: added task to Filtered list
Scheduled Tasks: 01/15/2020 01:59:08 PM DEBUG: added task to Filtered list
Scheduled Tasks: 01/15/2020 01:59:08 PM DEBUG: added task to Filtered list
Scheduled Tasks: 01/15/2020 01:59:08 PM DEBUG: added task to Filtered list
Scheduled Tasks: 01/15/2020 01:59:08 PM DEBUG: added task to Filtered list
Scheduled Tasks: 01/15/2020 01:59:08 PM DEBUG: added task to Filtered list
Scheduled Tasks: 01/15/2020 01:59:08 PM DEBUG: added task to Filtered list
Scheduled Tasks: 01/15/2020 01:59:11 PM INFO: Returned and printed list of task attributes with table view.
Scheduled Tasks: 01/15/2020 01:59:11 PM INFO: Saved list of task attributes with table view.
