==============================================================================  ==========================================================================================================================  =========  =====================================
StorageSense                                                                    \Microsoft\Windows\DiskFootprint\StorageSense                                                                               Completed  2020-01-14 21:56:12 (Central EU Time)
dusmtask                                                                        \Microsoft\Windows\DUSM\dusmtask                                                                                            Completed  1999-11-30 00:00:00 (Central EU Time)
EDP App Launch Task                                                             \Microsoft\Windows\EDP\EDP App Launch Task                                                                                  Completed  1999-11-30 00:00:00 (Central EU Time)
EDP Auth Task                                                                   \Microsoft\Windows\EDP\EDP Auth Task                                                                                        Completed  1999-11-30 00:00:00 (Central EU Time)
EDP Inaccessible Credentials Task                                               \Microsoft\Windows\EDP\EDP Inaccessible Credentials Task                                                                    Completed  1999-11-30 00:00:00 (Central EU Time)
StorageCardEncryption Task                                                      \Microsoft\Windows\EDP\StorageCardEncryption Task                                                                           Completed  1999-11-30 00:00:00 (Central EU Time)
ExploitGuard MDM policy Refresh                                                 \Microsoft\Windows\ExploitGuard\ExploitGuard MDM policy Refresh                                                             Completed  2020-01-13 11:30:27 (Central EU Time)
File History (maintenance mode)                                                 \Microsoft\Windows\FileHistory\File History (maintenance mode)                                                              Completed  2020-01-14 21:56:12 (Central EU Time)
ScanForUpdates                                                                  \Microsoft\Windows\InstallService\ScanForUpdates                                                                            Completed  2020-01-15 15:57:19 (Central EU Time)
ScanForUpdatesAsUser                                                            \Microsoft\Windows\InstallService\ScanForUpdatesAsUser                                                                      Completed  2020-01-14 21:56:12 (Central EU Time)
WakeUpAndContinueUpdates                                                        \Microsoft\Windows\InstallService\WakeUpAndContinueUpdates                                                                  Disabled   1999-11-30 00:00:00 (Central EU Time)
WakeUpAndScanForUpdates                                                         \Microsoft\Windows\InstallService\WakeUpAndScanForUpdates                                                                   Disabled   1999-11-30 00:00:00 (Central EU Time)
Installation                                                                    \Microsoft\Windows\LanguageComponentsInstaller\Installation                                                                 Completed  2020-01-14 21:56:10 (Central EU Time)
ReconcileLanguageResources                                                      \Microsoft\Windows\LanguageComponentsInstaller\ReconcileLanguageResources                                                   Completed  2020-01-14 20:47:31 (Central EU Time)
Notifications                                                                   \Microsoft\Windows\Location\Notifications                                                                                   Completed  2020-01-07 10:00:21 (Central EU Time)
WindowsActionDialog                                                             \Microsoft\Windows\Location\WindowsActionDialog                                                                             Completed  1999-11-30 00:00:00 (Central EU Time)
WinSAT                                                                          \Microsoft\Windows\Maintenance\WinSAT                                                                                       Completed  2020-01-10 14:41:47 (Central EU Time)
MapsUpdateTask                                                                  \Microsoft\Windows\Maps\MapsUpdateTask                                                                                      Disabled   1999-11-30 00:00:00 (Central EU Time)
MNO Metadata Parser                                                             \Microsoft\Windows\Mobile Broadband Accounts\MNO Metadata Parser                                                            Completed  1999-11-30 00:00:00 (Central EU Time)
Lpksetup                                                                        \Microsoft\Windows\MUI\Lpksetup                                                                                             Completed  2020-01-13 11:30:27 (Central EU Time)
LPRemove                                                                        \Microsoft\Windows\MUI\LPRemove                                                                                             Completed  2020-01-14 21:56:12 (Central EU Time)
Mcbuilder                                                                       \Microsoft\Windows\MUI\Mcbuilder                                                                                            Completed  2019-08-26 18:01:15 (Central EU Time)
SystemSoundsService                                                             \Microsoft\Windows\Multimedia\SystemSoundsService                                                                           Running    2020-01-13 11:30:29 (Central EU Time)
GatherNetworkInfo                                                               \Microsoft\Windows\NetTrace\GatherNetworkInfo                                                                               Completed  1999-11-30 00:00:00 (Central EU Time)
Sysprep Generalize Drivers                                                      \Microsoft\Windows\Plug and Play\Sysprep Generalize Drivers                                                                 Completed  2019-02-28 15:10:05 (Central EU Time)
AnalyzeSystem                                                                   \Microsoft\Windows\Power Efficiency Diagnostics\AnalyzeSystem                                                               Completed  2020-01-14 21:56:14 (Central EU Time)
EduPrintProv                                                                    \Microsoft\Windows\Printing\EduPrintProv                                                                                    Completed  1999-11-30 00:00:00 (Central EU Time)
StartComponentCleanup                                                           \Microsoft\Windows\Servicing\StartComponentCleanup                                                                          Completed  2020-01-10 12:31:49 (Central EU Time)
Account Cleanup                                                                 \Microsoft\Windows\SharedPC\Account Cleanup                                                                                 Disabled   1999-11-30 00:00:00 (Central EU Time)
FamilySafetyMonitor                                                             \Microsoft\Windows\Shell\FamilySafetyMonitor                                                                                Completed  2020-01-13 11:30:29 (Central EU Time)
FamilySafetyRefreshTask                                                         \Microsoft\Windows\Shell\FamilySafetyRefreshTask                                                                            Completed  2020-01-15 15:57:57 (Central EU Time)
IndexerAutomaticMaintenance                                                     \Microsoft\Windows\Shell\IndexerAutomaticMaintenance                                                                        Completed  2020-01-14 21:56:12 (Central EU Time)
UninstallSMB1ClientTask                                                         \Microsoft\Windows\SMB\UninstallSMB1ClientTask                                                                              Completed  1999-11-30 00:00:00 (Central EU Time)
UninstallSMB1ServerTask                                                         \Microsoft\Windows\SMB\UninstallSMB1ServerTask                                                                              Completed  1999-11-30 00:00:00 (Central EU Time)
SpaceAgentTask                                                                  \Microsoft\Windows\SpacePort\SpaceAgentTask                                                                                 Completed  1999-11-30 00:00:00 (Central EU Time)
SpaceManagerTask                                                                \Microsoft\Windows\SpacePort\SpaceManagerTask                                                                               Completed  1999-11-30 00:00:00 (Central EU Time)
HeadsetButtonPress                                                              \Microsoft\Windows\Speech\HeadsetButtonPress                                                                                Completed  1999-11-30 00:00:00 (Central EU Time)
Storage Tiers Management Initialization                                         \Microsoft\Windows\Storage Tiers Management\Storage Tiers Management Initialization                                         Completed  1999-11-30 00:00:00 (Central EU Time)
