============================================================================  ==================================================  ===================  ===================  ===================  ===================
File path                                                                     File name                                             File size (bytes)  last access          Last modified        Creation time
============================================================================  ==================================================  ===================  ===================  ===================  ===================
.\.git\objects\00                                                             87df23e8bfccbf59a9bfca4b06139bcec4ff3d                             1694  15/01/2020 15:59:28  15/01/2020 15:59:28  15/01/2020 15:59:28
.\.git\objects\00                                                             da1af7c5dd4d4159883eafd4dd5d3986c2ab8e                             1444  15/01/2020 15:59:33  15/01/2020 15:59:33  15/01/2020 15:59:33
.\.git\objects\00                                                             f401848bee5cc5cb26cfcdd2df8afb2c33d6bb                             2136  15/01/2020 13:59:50  15/01/2020 13:59:50  15/01/2020 13:59:50
.\.git\objects\01                                                             1b60d9e2e74ecedb3fdcd254ba77e91da85503                              471  15/01/2020 15:59:30  15/01/2020 15:59:30  15/01/2020 15:59:30
.\.git\objects\01                                                             30fb4653af18c1f368483cad6f8143c9bb4197                             2275  17/01/2020 10:20:21  17/01/2020 10:20:21  17/01/2020 10:20:21
.\.git\objects\01                                                             47d4404d7f3604ecd629e1363189185af40d6c                             1572  15/01/2020 15:59:25  15/01/2020 15:59:25  15/01/2020 15:59:25
.\.git\objects\02                                                             0bdc6c80d161219c0e90c95c66db2023803c7a                             4857  15/01/2020 15:59:25  15/01/2020 15:59:25  15/01/2020 15:59:25
.\.git\objects\02                                                             12f9713f2fa297520eac6780de29fd4f7edf17                              507  17/01/2020 11:29:21  17/01/2020 11:29:21  17/01/2020 11:29:21
.\.git\objects\02                                                             475dc8a3dc4b13c7fbba1ef00f6d87f8ed071d                             1797  15/01/2020 15:59:29  15/01/2020 15:59:29  15/01/2020 15:59:29
.\.git\objects\02                                                             916ad4b8f93aa26fe1151793af5cecf01f6c45                              911  15/01/2020 15:59:26  15/01/2020 15:59:26  15/01/2020 15:59:26
.\.git\objects\03                                                             0455b6ddf7ac2fd3da2f7f0be1ba55b1297445                              995  15/01/2020 15:59:36  15/01/2020 15:59:36  15/01/2020 15:59:36
.\.git\objects\03                                                             916b2aecfcea0ef474b13a11d2ec2ded6870da                               53  15/01/2020 15:59:36  15/01/2020 15:59:36  15/01/2020 15:59:36
.\.git\objects\03                                                             bd12f89fb3d6810ea972a9fffe58e6cb61a63a                              153  15/01/2020 17:02:39  15/01/2020 17:02:39  15/01/2020 15:59:42
.\.git\objects\03                                                             e4baa7864d64d2e7514361d3cfab8ce454161b                            20728  15/01/2020 15:59:30  15/01/2020 15:59:30  15/01/2020 15:59:30
.\.git\objects\03                                                             e4efce0c4ce897552a3a044c6b5f0cb7b90d45                             1569  15/01/2020 15:59:33  15/01/2020 15:59:33  15/01/2020 15:59:33
.\.git\objects\04                                                             2148bbc099dc4b2d80a53d9dde7b5bf355ce03                             1905  15/01/2020 15:59:32  15/01/2020 15:59:32  15/01/2020 15:59:32
.\.git\objects\04                                                             4f7b79fc6a969d6f69a9f945ac5bf28e119cb6                             1828  15/01/2020 15:59:34  15/01/2020 15:59:34  15/01/2020 15:59:34
.\.git\objects\04                                                             5fa74f85ef93d0cbde599a3a4be6617e0b8c36                             1688  15/01/2020 15:59:28  15/01/2020 15:59:28  15/01/2020 15:59:28
.\.git\objects\04                                                             e72fa4a1d78722cca85997959cf79ce087e055                             1914  15/01/2020 15:59:28  15/01/2020 15:59:28  15/01/2020 15:59:28
.\.git\objects\05                                                             2ea98ef58a591e6722c389ea90021d27b8101b                             2707  15/01/2020 15:59:34  15/01/2020 15:59:34  15/01/2020 15:59:34
.\.git\objects\05                                                             46e45309094bd4a2386926844f1f2e406aac50                             1855  15/01/2020 15:59:30  15/01/2020 15:59:30  15/01/2020 15:59:30
.\.git\objects\05                                                             6861e0871d7ac4787d6afc081ec1969ae84838                             1499  15/01/2020 15:59:30  15/01/2020 15:59:30  15/01/2020 15:59:30
.\.git\objects\05                                                             6eb31053a765a943e2a9d90007a804d936385e                              174  15/01/2020 16:41:12  15/01/2020 16:41:12  15/01/2020 16:41:12
.\.git\objects\05                                                             b3498fe29f27c5108d80ddb77be3a9d6c70f2c                              164  15/01/2020 15:59:43  15/01/2020 15:59:43  15/01/2020 15:59:43
.\.git\objects\05                                                             e9d2a574000810889bd87f0ff6a52319a1c0eb                             2336  15/01/2020 15:59:27  15/01/2020 15:59:27  15/01/2020 15:59:27
.\.git\objects\06                                                             03620931dd24d386250f1931d32c998d7724bf                             2234  15/01/2020 15:03:29  15/01/2020 15:03:29  15/01/2020 15:03:29
.\.git\objects\06                                                             9df048376965e7e17657558735d0af37c051b9                              192  17/01/2020 15:45:33  17/01/2020 15:45:33  17/01/2020 15:45:33
.\.git\objects\07                                                             b2cbebce8363bf3ae5d2aa8e9ab8d64bb468a5                             4972  15/01/2020 15:59:32  15/01/2020 15:59:32  15/01/2020 15:59:32
.\.git\objects\07                                                             c12200317a4ac47cda3dc8e682ddc03803ead2                              106  17/01/2020 11:29:25  17/01/2020 11:29:25  17/01/2020 11:29:25
.\.git\objects\07                                                             c468c9e5906292639711c13060bb401f554adc                             7102  15/01/2020 15:59:24  15/01/2020 15:59:24  15/01/2020 15:59:24
.\.git\objects\07                                                             f47e2c70a819ceb5795f5c25d6584c2b3fec8a                            53243  17/01/2020 14:32:20  17/01/2020 14:32:20  17/01/2020 14:32:20
.\.git\objects\08                                                             09ca8f9bc25316cbf8fa8e724b7d40776643cc                             1689  15/01/2020 15:59:29  15/01/2020 15:59:29  15/01/2020 15:59:29
.\.git\objects\08                                                             41824b66558c297befdf6fa2fd3c2dccb18548                             1399  15/01/2020 15:59:24  15/01/2020 15:59:24  15/01/2020 15:59:24
