==============================================================  =======================================================================================================================  =========  =====================================
ScheduledDefrag                                                 \Microsoft\Windows\Defrag\ScheduledDefrag                                                                                Completed  2020-01-22 13:27:37 (Central EU Time)
Device                                                          \Microsoft\Windows\Device Information\Device                                                                             Completed  2020-01-29 10:45:18 (Central EU Time)
RecommendedTroubleshootingScanner                               \Microsoft\Windows\Diagnosis\RecommendedTroubleshootingScanner                                                           Completed  2020-01-29 10:45:20 (Central EU Time)
SilentCleanup                                                   \Microsoft\Windows\DiskCleanup\SilentCleanup                                                                             Completed  2020-01-28 14:19:56 (Central EU Time)
Diagnostics                                                     \Microsoft\Windows\DiskFootprint\Diagnostics                                                                             Completed  2020-01-27 19:20:26 (Central EU Time)
StorageSense                                                    \Microsoft\Windows\DiskFootprint\StorageSense                                                                            Completed  2020-01-27 19:20:26 (Central EU Time)
dusmtask                                                        \Microsoft\Windows\DUSM\dusmtask                                                                                         Completed  1999-11-30 00:00:00 (Central EU Time)
EDP App Launch Task                                             \Microsoft\Windows\EDP\EDP App Launch Task                                                                               Completed  1999-11-30 00:00:00 (Central EU Time)
EDP Auth Task                                                   \Microsoft\Windows\EDP\EDP Auth Task                                                                                     Completed  1999-11-30 00:00:00 (Central EU Time)
EDP Inaccessible Credentials Task                               \Microsoft\Windows\EDP\EDP Inaccessible Credentials Task                                                                 Completed  1999-11-30 00:00:00 (Central EU Time)
StorageCardEncryption Task                                      \Microsoft\Windows\EDP\StorageCardEncryption Task                                                                        Completed  1999-11-30 00:00:00 (Central EU Time)
ExploitGuard MDM policy Refresh                                 \Microsoft\Windows\ExploitGuard\ExploitGuard MDM policy Refresh                                                          Completed  2020-01-24 18:10:01 (Central EU Time)
File History (maintenance mode)                                 \Microsoft\Windows\FileHistory\File History (maintenance mode)                                                           Completed  2020-01-25 15:51:22 (Central EU Time)
ScanForUpdates                                                  \Microsoft\Windows\InstallService\ScanForUpdates                                                                         Completed  2020-01-29 10:45:18 (Central EU Time)
ScanForUpdatesAsUser                                            \Microsoft\Windows\InstallService\ScanForUpdatesAsUser                                                                   Completed  2020-01-27 19:20:26 (Central EU Time)
Installation                                                    \Microsoft\Windows\LanguageComponentsInstaller\Installation                                                              Completed  2020-01-29 11:30:08 (Central EU Time)
ReconcileLanguageResources                                      \Microsoft\Windows\LanguageComponentsInstaller\ReconcileLanguageResources                                                Completed  2020-01-28 21:10:22 (Central EU Time)
Notifications                                                   \Microsoft\Windows\Location\Notifications                                                                                Completed  1999-11-30 00:00:00 (Central EU Time)
WindowsActionDialog                                             \Microsoft\Windows\Location\WindowsActionDialog                                                                          Completed  1999-11-30 00:00:00 (Central EU Time)
